STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10001,1,1,0,0,0,8,8,115,0,6,1,2013,1,0,55,1,1,1,I-59,NA,1589,33.79196389,-86.38370278,0,42,0,0,1,1,0,4,2,10,0,10,0,0000000,99,99,1,7,99,99,0,0,0,2,0
1,10002,2,2,0,0,0,2,2,55,1670,3,1,2013,5,21,24,1,2,2,US-SR 74,MCCLAIN ST,1397,33.98466111,-85.88830556,0,12,6,0,2,2,0,1,3,10,0,10,0,0000000,99,99,21,33,99,99,0,0,0,1,0
1,10003,1,1,0,0,0,1,1,89,1730,6,1,2013,1,11,45,0,15,6,OAKWOOD AVE,NA,0,34.74946667,-86.62147222,0,30,0,0,1,1,0,4,1,10,0,10,0,0000000,99,99,11,54,99,99,0,0,0,1,0
1,10004,1,1,0,0,0,3,3,73,350,6,1,2013,1,12,25,0,99,6,JEFFERSON AVE SW,NA,0,33.48591389,-86.85701111,0,24,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,12,33,99,99,0,0,0,2,0
1,10005,2,2,0,0,0,3,3,125,3050,6,1,2013,1,18,28,1,11,1,I-359,NA,10,33.16855556,-87.55183056,0,12,1,1,18,1,0,1,3,1,0,1,0,0000000,99,99,18,29,99,99,0,0,0,1,0
1,10006,2,2,0,0,0,3,3,97,2100,8,1,2013,3,14,31,1,13,6,GOVERNMENT ST,PLEASANT VALLEY ROAD,0,30.66167778,-88.10793333,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,99,99,14,32,99,99,0,0,0,1,0
1,10007,1,1,0,0,0,1,1,95,50,11,1,2013,6,21,30,0,3,3,SR-205,NA,95,34.27086944,-86.22073056,0,34,0,0,1,1,0,4,3,2,0,2,0,0000000,99,99,21,38,88,88,0,0,0,1,0
1,10008,2,2,0,0,0,2,2,49,2904,14,1,2013,2,14,49,0,3,3,SR-75,NA,910,34.56107222,-85.79985833,0,12,2,0,1,1,0,1,1,2,0,2,0,0000000,99,99,14,55,99,99,0,0,0,1,0
1,10009,1,1,0,0,0,1,1,17,0,5,1,2013,7,16,21,0,4,4,CR-267,NA,0,33.01001944,-85.29138889,0,42,0,0,1,1,0,4,1,10,0,10,0,0000000,88,88,88,88,88,88,0,0,0,1,1

